jl. p polim raya,pulo
jembatan patekoan --,tambora
jl. nangka,cengkareng barat
jl. h maun,kalibata
bekasi tmr,cipinang besar utara
ps. minggu,pasar minggu
nangka raya,kayu putih
p polim raya,pulo
rajawali selatan,gunung sahari utara
green garden,sukapura
jl . mh tamrin,kebon sirih
jl. gandaria,gandaria selatan
tb simatupang,pasar minggu
jl. tmii,lubang buaya
jl. mindi,lagoa
ulu jami,ulujami
gn sahari 3,gunung sahari utara
jl. majapahit -,petojo utara
semangat,pasar baru
raden patah,selong
jl. berdikari,kapuk
margasatwa,ragunan
rc veteran,bintaro
jl. p. polim,pulo
gn sahari,gunung sahari utara
jl. t. simatupang,pasar minggu
raya mangga dua,pinangsia
jl. hayam wuruk,mangga besar
halte mangga dua square,pejagalan
halte kedoya,kedoya selatan
jl. latumeten,jelambar
bina karya,pondok kelapa
taman malaka selatan,malaka jaya
d wangsa raya,pulo
tg. duren,tanjung duren utara
jl. angk,sukabumi selatan
ir. h. juanda,kebon kelapa
condet,gedong
pakin  tongkol,pluit
sunter karya,sunter agung
pisangan lama,pisangan timur
jl. salemba,paseban
kavling polri,jelambar
alu-,jati
jl utan kayu,utan kayu selatan
teuku umar,gondangdia
s. parman,palmerah
re. martadinata,tanjung priok
jl . merdeka utara,gambir
kel t jemb 3,pejagalan
jl . salemba raya,kenari
green ville,duri kepa
kedoya raya,kedoya selatan
jl. k caringin,srengseng
hang tuah,gunung
gongseng,cijantung
hayam wuruk,mangga besar
otista,bidaracina
jl. persahabatan,ciganjur
masuk t plumpang,pejagalan
semanggi masuk,karet semanggi
jl. juraganan,grogol utara
alu-alu,jati
jendral ahmad yani,cempaka putih timur
cipete raya,cipete selatan
halte atri,pejagalan
semeru raya,grogol
situ babakan,cibubur
pintu air,pasar baru
jl. h. ten,jati
supomo,menteng dalam
jl . raya bekasi,cakung
jl. laboratorium,duren tiga
kebon 200,manggarai
kali malang,pondok kelapa
plaza prj,sunter agung
cut mutiah,kebon sirih
arteri,kedoya selatan
jl. sabar,petukangan selatan
jl. tiang seng,mangga dua selatan
barito,kramat pela
jl. h. murtado,pasar minggu
p. asem raya,jati
jl. palem,ulujami
sawo manila,jati padang
jl. raya bekasi tm,jelambar
jl. pedati,bali mester
jl. kyai maja,kramat pela
jl pos,sukabumi selatan
-- kembang sepatu,kampung rawa
waru,kapuk
nusa indah i,malaka jaya
jl. y sudarso,koja selatan
jl. majapahit,petojo utara
jl. marjuki,ciracas
h. dogol,karet kuningan
jl. marga satwa,ragunan
proklmasi,pegangsaan
kunir bank,pinangsia
jl. saharjo,manggarai selatan
jl. k car,tegal parang
pakubuwono,gunung
jl. ry bekasi,cakung
jl. tongkol,tanjung priok
jl. di prapatan,tegal parang
jl. ciledug raya,ulujami
bangunan timur --,pulogebang
hibrida,tugu utara
jl proklamasi,pegangsaan
meruya ilir,meruya utara
p kemerdekaan,kayu putih
jl. thamrin,kebon sirih
laut banda,cipulir
jl. mahoni,kayu putih
jl . achmad yani,jati
jl . wolter mongonsidi,rawa barat
swasembada barat,kebon bawang
jl. utan kayu,utan kayu selatan
jl. p polim,pulo
jl. jend sudirman,senayan
jl.industri,gunung sahari utara
seruling,kelapa gading barat
pondok gede,lubang buaya
jl. kyai tapa,grogol
jl. sisingamangaraja,gunung
tronojoyo,pulo
plumpang raya,rawa badak utara
sakura,utan panjang
dalam kota,menteng dalam
jl di panjaitan,cipinang besar utara
jl . perintis kemerdekaan,pulo gadung
jl. kosambi,duri kosambi
jl. di panjaitan,cipinang besar utara
jl. podomoro,sunter agung
- jl. sutoyo,cawang
ketapang,krukut
jl . banteng utara,pasar baru
raya fatamawati,gandaria selatan
bulungan/barito,kramat pela
di panjaitan,cipinang besar utara
jembatan iii,pejagalan
jl. mesjid,grogol utara
kunir,pinangsia
kali besar timur,pinangsia
jl. kwini,senen
halte pademangan,pejagalan
budi utomo,pasar baru
jl sudirman,senayan
kalimalang,pondok kelapa
jl. jambu,utan kayu selatan
gd. indah raya,pinangsia
jl . bekasi timur,cipinang besar utara
cempaka putih tengah,cempaka putih timur
perniagaan barat,roa malaka
jl. pejaten,pejaten barat
jl. darma w iii,pejagalan
jl . gatot subroto,gelora
gd. putih utara,kayu putih
kota ( jl . lada ),pinangsia
kav. pemda,pondok kelapa
jl. mutiara,jati
basuki rahmat,cipinang besar utara
warung buncit ,kalibata
cedang,pejagalan
dr. sutomo,pasar baru
jl. sahardjo,manggarai selatan
jl. kawi --,johar baru
roxy,kenari
inspeksi curug,cipinang melayu
jl pejambon,gambir
gading raya,pisangan timur
jl sutoyo,cawang
sutoyo,cawang
komplek pwi,cipinang muara
jl. perdatam,pancoran
jl. gd kesenian,pasar baru
roxi,cideng
bandengan selatan,pluit
halte sumber waras,cengkareng barat
mitra sunter,sunter agung
jl gajah mada,petojo selatan
radio dalam,gandaria utara
jl raya fatmawati,cilandak barat
komplek bank,pejaten barat
pantai laut,koja utara
kakap,jati
taman puring,maphar
batusari,palmerah
bekasi barat vi,rawa bunga
jl. matraman  raya,kebon manggis
salemba,paseban
mangga dua raya,pinangsia
a yani,kayu putih
pepaya,jagakarsa
biru laut,cipinang cempedak
dr supomo,menteng dalam
tanjung duren raya,tanjung duren utara
tiang bendera,roa malaka
diponegoro,kenari
tebet raya,tebet timur
gd kesenian,pasar baru
harapan indah,jelambar
jl . perwira,pasar baru
pintu ix,gelora
jl. sukabumi,sukabumi selatan
gatot subroto,gelora
kembang s,kembangan selatan
kota/bni46,cilandak barat
taman solo,kembangan selatan
kepu selatan,kemayoran
jl . hasanudin,pulo
jl mangga dua raya,ancol
ekor kuning,pluit
jl. surya pranoto,petojo utara
perumahan bsr,pademangan barat
raya raguanan,ragunan
matraman dalam,pegangsaan
kalimati,pademangan barat
halte blok m,pejagalan
bujana tirta,pisangan timur
palem,ulujami
jl. m.pd indah,kebayoran lama utara
basuki rachmat,cipinang besar utara
sisingamangaraja --,gunung
kemang selatan,bangka
sunan giri,jati
rawa lele,jati
jl. plumpang,tugu utara
kavling dki,meruya selatan
jl. h. baping,ciracas
muria dalam raya,menteng atas
sultan agung,guntur
lap banteng barat,pasar baru
jl. madrasah,gandaria selatan
jl. mantang,lagoa
sunter hijau raya,sunter agung
jl. musik raya,pegangsaan dua
jl. otista raya,bidaracina
asem baris,kebon baru
jl. mangga iii,duri kepa
jl . samanhudi,pasar baru
komplek polri,jelambar
saharjo,manggarai selatan
jl. mangga ii raya,duri kepa
jl. mangga dua raya,ancol
jl. dr. saharjo,manggarai selatan
jembatan batu,pinangsia
jl. jepara,cawang
puri indah,kembangan selatan
pekan raya jakarta,kelapa gading barat
jl. khatedral,pasar baru
jl tb simatupang,pasar minggu
berangkat : blok m,kembangan selatan
jl. fachrudin,kampung bali
pt. besar selatan,mangga dua selatan
jl pemuda,jati
jl . pe,tanjung duren utara
cemp. putih tngh,cipinang cempedak
pemuda,jati
jl. h samali,pejaten barat
jl. enim,kebon bawang
keadilan,keagungan
perserikatan,jati
jl. juanda,kebon kelapa
warung buncit,kalibata
jl. biak --jl. musi,cideng
p polim,pulo
kemandoran i - viii,palmerah
otista raya,bidaracina
sudirman,senayan
mt haryono,pancoran
raya pelabuhan,tanjung priok
rajawali raya,gunung sahari utara
enggano,tanjung priok
jl. m merah,harapan mulia
raya benda,cengkareng barat
pembang,petojo selatan
swadaya raya,duren sawit
jl panglima polim,pulo
kalibesar barat,roa malaka
hasanudin,pulo
kwini,senen
buncit indah,pejaten barat
jl. daan mogot,jelambar
jl. pinang,pondok pinang
buluh perindu,pondok bambu
pejambon,gambir
mh tahmrin,kebon sirih
kp. melayu,kampung melayu
halte rawa selatan,cengkareng barat
auri,kuningan timur
rasamala,menteng dalam
mesjid abidin,jatinegara
jl. imam bonjol,menteng
taman mini,lubang buaya
dewi sartika,cawang
jl. perwira,pasar baru
buncit raya,kalibata
jl . proklamasi,pegangsaan
pinang raya,pondok pinang
jl. h ipin,pondok labu
jl. kehakiman,jelambar
jl. cemara,kayu putih
jl. s hasanudin,pulo
jl . panglima polim,pulo
kp melayu,kampung melayu
tawakal vi,tomang
pasartanahabang,kampung bali
jl. patimura,selong
stadion,lebak bulus
jl . juanda,kebon kelapa
halte imigrasi,cengkareng barat
pedongkelan dalam,kapuk
jl. rasuna said,kuningan timur
kepu,kemayoran
muara karang,pejagalan
griya utama,sunter agung
jl. ta,krukut
agung podomoro,sunter agung
kampung duku,kebon pala
ketimun iii,pulo
kejaksaan --,pondok bambu
lingkungan iv,kembangan selatan
taman cengkareng,rawa buaya
imam bonjol,menteng
tengku umar,gondangdia
fatmawati,cilandak barat
jl. danau indah raya,sunter agung
jl . sudirman,senayan
teluk gong,pejagalan
soetoyo,cawang
darmawangsa ii,pulo
centex,ciracas
senangka iii-i,jati pulo
rs. fatmawati,cilandak barat
buaran jaya,jatinegara
tanah kusir,kebayoran lama utara
kp melayu besar,kampung melayu
seroja,cilandak timur
jl. cut mutiah,kebon sirih
jl ahmad yani,jati
jl salemba raya,kenari
jl. t.,palmerah
jl . tb simatupang,pasar minggu
sunter i,sunter agung
jl. salemba raya,kenari
kelapadua wetan,kelapa dua wetan
jl . perintis kemerdekaa,pulo gadung
prapanca,pulo
walang permai,tugu utara
pakubuwono vi,gunung
bina karya iii,gandaria utara
kp tengah,kampung tengah
rasuna said,kuningan timur
jl. ks tubun,kota bambu utara
permata hijau,grogol utara
kayumanis 8,utan kayu selatan
jl tb simatu,pasar minggu
jl. senopati,senayan
jl. hasanuddin,pulo
-- jl. suprapto,harapan mulia
berdikari,kapuk
jl . pejambon,gambir
jl. veteran,bintaro
kby lama,kebayoran lama utara
bekasi barat iv,cipinang
jl. fahrudin,kampung bali
raya condet,gedong
nusa in,malaka jaya
teratai putih,malaka jaya
salam raya,sukabumi selatan
pintu besar timur,pinangsia
jl. ciputat raya,kebayoran lama utara
elang malindo,cipinang melayu
gn sahari raya,gunung sahari utara
lap banteng utara,pasar baru
kav. polri,jelambar
jl . gajah mada,petojo selatan
raya bogor,kramat jati
jl. pakubuwono,gunung
darmawangsa 3,pulo
bojong raya,rawa buaya
jl. h. nawi,gandaria selatan
niaga raya,pondok pinang
jl . ha,taman sari
rosela raya,jelambar
balai pustaka,jati
berangkat :  t,kebon manggis
rawa selatan,kampung rawa
jl . dr sutomo,pasar baru
podomoro barat,sunter agung
wijaya ii,pulo
raya boulevard,kelapa gading barat
raya ps. minggu,pejaten barat
casablanca,tebet barat
p mutiara,jelambar
- jl. p mutiara,jelambar
kecamatan cilandak,cilandak barat
jl . suryo,rawa barat
jl. muria,guntur
jl ginung sahari,gunung sahari selatan
jl. asia afrika,gelora
penjernihan,bendungan hilir
raden saleh,kenari
jl. musi,cideng
puri kembangan,kembangan selatan
kayumanis 8 - tengah 3 - tengah,kayu putih
pasar pd. labu,pondok labu
raya daan mogot,jelambar
jl. budi utomo,pasar baru
kavtipar,semper barat
nusa indah raya,malaka jaya
jl . sisinga mangaraja,gunung
kyai maja,kramat pela
jl. balai rakyat,tugu utara
jl. sawo,jati
wijaya 2,pulo
bunderan semper,tugu utara
komplek,meruya selatan
p. permata indah,pejagalan
kebantenan,semper barat
bend hilir iv,bendungan hilir
jl. bank,pela mampang
jl. dr. sutomo,pasar baru
pademangan raya,pademangan barat
jl . pecenongan,kebon kelapa
komp. walikota,meruya selatan
by pass,kebon bawang
raya tanjung duren,tanjung duren utara
jl. anggrek,palmerah
jl. gatot subroto,gelora
jl. di. panjaitan,cipinang besar utara
jendral ahmat yani,utan kayu selatan
jembatan patekoan,tambora
jl. kh,kebon sirih
jl. a.fd indah,kelapa gading barat
pattimura,selong
tegalamba,duren sawit
jl. bekasi timur,cipinang besar utara
jl. farmasi,bendungan hilir
brawijaya i,pulo
siaga raya,pejaten barat
lap banteng timur --,pasar baru
jl . angkasa,gunung sahari selatan
wolter mongonsidi,petogogan
gatot subroto -,gelora
pademangan i,pademangan barat
di. p,tegal parang
perwira,pasar baru
s paman,slipi
i bonjol,menteng
ekor kuning iii,pluit
persahabatan,pisangan timur
dr sutomo,pasar baru
kandang sapi,ujung menteng
jl. tipar,semper barat
jl suprapto,harapan mulia
nusa indah iii,kapuk
jeruk purut,cilandak timur
rumah sakit satya negara,jatinegara
dr suratmo,mangga dua selatan
mh thamrin,kebon sirih
gunawarman,selong
kyai tapa,grogol
jl. merpati,menteng dalam
rawa mangun,jati
jl. p jayakarta,mangga dua selatan
kh. mas mans,duren tiga
jl. rawa buntu,pasar minggu
jl . radio dalam,gandaria utara
jl. dr satrio,karet kuningan
jl . tanah abang i,petojo utara
bale kembang,balekambang
jl. trunojoyo,pulo
jl. nusa indah raya,malaka jaya
kota/bni 4,cilandak barat
jl. ha,taman sari
jl. tenggiri,tanjung priok
jl. hankam,joglo
semper-tipar,semper barat
dr. sutom,manggarai
keby. lama,pulo
industri,jatinegara
rawamngun,jati
jl perwira,pasar baru
pisangan lama ii,pisangan timur
jl garuda,gunung sahari selatan
ps. keb. lama,pondok pinang
suryopranoto  majapahit,petojo utara
mampang raya,tegal parang
pejaten raya,pejaten barat
tugu semper,tugu utara
jl. muwardi,jelambar
prambanan,pegangsaan
rawa badung,jatinegara
jl. veteran  iii,gambir
jl. merdeka selatan,gambir
re martadinata,tanjung priok
kuburan islam iii - iv,kapuk
jl raya pondok gede,lubang buaya
pintu besar sel,gunung sahari selatan
panglima polim,pulo
muctar raya,petukangan utara
lapangan roos,bukit duri
jl. kemang selatan,bangka
ciledug raya,ulujami
p buntu,mangga dua selatan
kelurahan raya,duren sawit
jl kartika,pondok pinang
benhil,bendungan hilir
harmoni,petojo utara
peta utara,petukangan utara
kh. mas ma,kebon kacang
jl. samanhudi,pasar baru
jl. paku buwono,gunung
suneter mas barat,sunter agung
jl. raya bogor --,kramat jati
jl . dr . sutomo,pasar baru
pos pengumben,sukabumi selatan
jl . latumenten,jelambar
jl. ps jumat,lebak bulus
jl. durian,jagakarsa
raya kalimalang,pondok kelapa
jl. b rampai,cipete selatan
-- jl. s parman,palmerah
jl . ahmad yani,jati
pejatenraya,pejaten barat
mh tamrin / tangerang,gondangdia
jl. perintis kemerdekaan,pulo gadung
tebet raya - barat - timur dalam ix,bangka
jl. g. sahari iii,gunung sahari utara
jl. al barkah,manggarai selatan
asemka,pinangsia
jl. mt haryono,pancoran
rawa domba,duren sawit
prapanca buntu,pulo
jend soeprapto,harapan mulia
jl. laturharhari,menteng
masjid abidin,jatinegara
jl. rw mangun mk  -,jati
pisangan lama 3,pisangan timur
jl. jenderal sudirman,senayan
arteri pd indah,kebayoran lama utara
jl. raya pd gede,lubang buaya
jl . mangga dua raya,ancol
jl. mandala,tomang
balai pustaka timur,jati
b. besar (poncol),gandaria selatan
dr latumenten,angke
jl. m. sunter b,sunter agung
kiai tapa,grogol
jl. lt agung,pasar minggu
jl. lada,pinangsia
merdeka timur,gambir
halte sumur bor,cengkareng barat
sawo kecik - selatan - barat,bukit duri
kampung kandang,ciganjur
blok m,meruya utara
jl. sudirman,senayan
madrasah raya i,cilandak timur
jl . raya ciputat,kebayoran lama utara
kali besar timur 3,pinangsia
-- gajah mada,petojo selatan
bojong rangkong,pulogebang
komp. kejaksaan,pondok bambu
kelapa pian,kelapa gading barat
jl. sadar,ciganjur
blok a,kebon kacang
brawijaya iii,pulo
jl. raya ps minggu,pejaten barat
raya pd. gede,lubang buaya
jl . daan mogot,jelambar
d sunter utara,sunter agung
pejuangan,kebon jeruk
poncol i,kuningan barat
kranji,ciganjur
srenseng sawah,srengseng sawah
pete iv,pulo
pisangan lama iii,pisangan timur
ulu  jami,ulujami
jl. sanusi,cipulir
delima i,tanjung duren utara
perniagaan,roa malaka
prapanca raya,pulo
jl. paus,jati
jl . ridwan rais,gambir
jl. metro pd indah,pondok pinang
raya kebayoran lama,kebayoran lama utara
jl. pejambon,gambir
bandengan,pluit
jl achmad yani,jati
- jl. di panjaitan,cipinang besar utara
pakin,pluit
pacuan kuda,kayu putih
suprapto,harapan mulia
jl. hanafi,cipinang
pesing poglar,jelambar
permata timur,kembangan selatan
jl. ayub,pejaten barat
p.p,tanah sereal
kh.,duri pulo
rs desa putra,angke
jl . raya fatmawati,cilandak barat
flamboyan,cengkareng barat
cik ditiro,gondangdia
kalibesar,pinangsia
jl. panjang,grogol selatan
citarum,cideng
raya cacing,pondok bambu
cendrawasih,cengkareng barat
jl. cilandak kko,cilandak timur
pintu besar selatan,pinangsia
jl. ir juanda,kebon kelapa
mahakam ii atas,ciganjur
sunan drajat,jati
kapten tendean,tegal parang
jl. gn sahari,gunung sahari utara
jl. paso,jagakarsa
jl. mangga,duri kepa
salemba tengah,paseban
g subroto,menteng dalam
alur laut,rawa badak utara
komplek taman ratu,duri kepa
jl. damai,ciganjur
jl. kelapa h,kelapa gading barat
walikota,meruya selatan
matraman raya,kebon manggis
jl. tb simatupang,pasar minggu
jembatan hitam,pekojan
kh. samanhudi,pasar baru
tebet utara,tebet barat
jl. h ma,pejaten barat
boulevard timur,kelapa gading barat
ampera,cilandak timur
jl. suryopranoto,petojo utara
kwini ii,senen
jl. kr raya,kapuk
jl. sagu,jagakarsa
sunter permai,sunter agung
mangga dua plaza,pinangsia
delima i - iv,tanjung duren utara
jl. s. parman,palmerah
jl. asem,utan kayu selatan
dr. latumeten,angke
suryopranoto,petojo utara
kh mas mansyur,kebon kacang
puri mutiara,cipete selatan
latumetten,angke
jl. pakubuwono --,gunung
jl. raya bogor,kramat jati
jl diponogoro,kenari
melayu kecil,bukit duri
jl. h ung,utan panjang
kbn,sukabumi selatan
jl. hang tuah,gunung
jl . suprapto,harapan mulia
jl. pilar,kedoya selatan
komplek pertamina,tugu utara
jl. utama,jelambar
jendral sudirman,senayan
jl. kapt tendean,tegal parang
jl . kunir,pinangsia
raya keb. lama,kebayoran lama utara
jl. bima - sinta,kelapa gading barat
hang lekir,gunung
jl. b betawi,kuningan barat
jl. otista,bidaracina
jl. cilandak,cilandak barat
cengkeh --kunir,pinangsia
lingkar sel tim,pasar minggu
jl. mardani,cempaka putih barat
kapt tendean,tegal parang
casablangka,tebet barat
tg pura,tanjung duren utara
raya lt. agung,pasar minggu
taman bunga,kedoya selatan
raya,kebon manggis
dst,kota bambu utara
pademngan iv,pademangan barat
raya ps,cengkareng barat
tmii,lubang buaya
attahiriyah,pejaten barat
walikota jakbar,meruya selatan
kelapa puyuh raya,kelapa gading barat
jl. raya bekasi,cakung
jl. supomo,menteng dalam
pademngan ii,pademangan barat
jl. intan ii,cilandak barat
jl. margasatwa,ragunan
jl. arteri,kedoya selatan
